hallis-mollen,0
quentyn-martell,0
joseth,0
harras-harlaw,0
allard-seaworth,0
hugo-vance,0
qezza,0
osha,0
marya-seaworth,0
amabel,0
qavo-nogarys,0
stiv,0
jaehaerys-i-targaryen,0
amory-lorch,0
penny,0
rugen,0
chayle,0
moqorro,0
cley-cerwyn,0
jeyne-farman,0
sharna,0
donella-hornwood,0
torwold-browntooth,0
miklaz,0
mebble,0
mezzara,0
hayhead,0
lucas-codd,0
ardrian-celtigar,0
manfrey-martell,0
mikken,0
aron-santagar,0
meris,0
arwyn-oakheart,0
leaf,0
pate-(whipping-boy),0
marselen,0
brynden-rivers,0
lysono-maar,0
shortear,0
tristifer-botley,0
puckens,0
torgon-greyiron,0
desmond-grell,0
jon-connington,0
vyman,0
hizdahr-zo-loraq,0
quhuru-mo,0
sybelle-glover,0
hero,0
rolfe-the-dwarf,0
ralf-(limper),0
tansy,0
qarl-the-maid,0
roslin-frey,0
sarella-sand,0
gerris-drinkwater,0
galazza-galare,0
justin-massey,0
talbert-serry,0
raynald-westerling,0
maege-mormont,0
ezzara,0
hagen,0
myles-toyne,0
lothar-frey,0
nyessos-vhassar,0
grimtongue,0
doran-martell,0
godry-farring,0
jeyne-westerling,0
rickon-stark,0
alys-karstark,0
gregor-clegane,0
clayton-suggs,0
alysane-mormont,0
jason-mallister,0
hoster-tully,0
rodrik-harlaw,0
maron-greyjoy,0
richard-horpe,0
dacey-mormont,0
luwin,0
archibald-yronwood,0
red-oarsman,0
janos-slynt,0
cleos-frey,0
cletus-yronwood,0
bael-the-bard,0
wendel-manderly,0
ilyn-payne,0
ballabar,0
kedry,0
frenken,0
wylla,0
arnolf-karstark,0
utherydes-wayn,0
wulfe,0
robar-royce,0
arthor-karstark,0
vayon-poole,0
benfred-tallhart,0
arron,0
varly,0
randyll-tarly,0
emrick,0
tregar,0
stygg,0
mathis-rowan,0
colemon,0
ashara-dayne,0
leobald-tallhart,0
torrhen-karstark,0
barbrey-dustin,0
beth-cassel,0
donnel-waynwood,0
tomard,0
eon-hunter,0
mors-umber,0
roger-ryswell,0
tobho-mott,0
marillion,0
syrio-forel,0
marghaz-zo-loraq,0
emmon-cuy,0
barsena,0
masha-heddle,0
selwyn-tarth,0
edmure-tully,0
clarence-crabb,0
bartimus,0
galbart-glover,0
moreo-tumitis,0
mya-stone,0
creighton-longbough,0
gendry,0
belaquo,0
gerold-hightower,0
goghor-the-giant,0
mychel-redfort,0
dick-crabb,0
harwin,0
nestor-royce,0
dontos-hollard,0
ben-bones,0
sweets,0
stevron-frey,0
high-septon-(fat_one),0
elder-brother,0
illifer,0
howland-reed,0
benerro,0
colen-of-greenpools,0
jeyne-heddle,0
hyle-hunt,0
rodrik-sparr,0
jacks,0
shae,0
benethon-scales,0
joss,0
meribald,0
narbert,0
black-balaq,0
lyanna-stark,0
ellaria-sand,0
torghen-flint,0
pyg,0
marq-piper,0
elia-martell,0
mordane,0
brandon-norrey,0
tanda-stokeworth,0
bryce-caron,0
mycah,0
preston-greenfield,0
guyard-morrigen,0
brus-buckler,0
porther,0
eldon-estermont,0
osney-kettleblack,0
bump,0
raymun-darry,0
caggo,0
steffon-varner,0
osfryd-kettleblack,0
captain-myraham,0
lucifer-long,0
jacelyn-bywater,0
wyman-manderly,0
captain-myraham-daughter,0
camarron,0
willam-dustin,0
dorcas,0
megga-tyrell,0
ramsay-snow,0
unella,0
corliss-penny,0
cromm,0
chataya,0
aemon-targaryen-(maester-aemon),0
scolera,0
craster,0
robert-strong,0
damon-dance-for-me,0
samwell-tarly,0
moelle,0
grunt,0
dirk,0
gilly,0
emmett,0
high-sparrow,0
denzo-dhan,0
clydas,0
